n_epochs,intermediate_distortion,intermediate_l1,mean_optim_l1,min_optim_l1,std_optim_l1,mean_no_optim_l1,min_no_optim_l1,std_no_optim_l1,mean_optim_distortion,min_optim_distortion,std_optim_distortion,mean_no_optim_distortion,min_no_optim_distortion,std_no_optim_distortion,scale_delta,distance_reg,learning_rate
83,1.558168,0.307628,1.042975,1.003358,0.016301,1.155281,1.055786,0.044921,3.031305,2.738319,0.177442,3.360000,3.000000,0.480000,0.001000,0.100000,0.100000
225,1.273402,0.290427,0.798869,0.774907,0.016158,1.149053,1.055786,0.040791,2.641952,2.482014,0.170264,3.370000,3.000000,0.482804,0.001000,0.010000,0.010000
242,0.135978,0.047824,1.129224,1.015392,0.036099,1.145223,1.006358,0.043462,3.222793,2.953948,0.370414,3.300000,3.000000,0.458258,1.000000,1.000000,0.001000
113,0.006608,0.002253,1.143138,1.011860,0.045994,1.145111,1.012489,0.046360,3.354083,2.996342,0.474924,3.360000,3.000000,0.480000,0.010000,0.010000,0.000100
34,0.002946,0.001051,1.137599,1.006436,0.036797,1.137884,1.006358,0.036888,3.328742,2.998658,0.468525,3.330000,3.000000,0.470213,10.000000,0.100000,0.000100
80,0.008123,0.003088,1.142449,0.998048,0.042847,1.143396,0.997184,0.043257,3.365631,2.995922,0.478138,3.370000,3.000000,0.482804,10.000000,1.000000,0.000100
122,0.007536,0.002999,1.142814,1.032121,0.038699,1.144858,1.032367,0.039082,3.334059,2.996182,0.467932,3.340000,3.000000,0.473709,1.000000,0.010000,0.000100
56,0.039428,0.013668,1.135722,1.022799,0.039892,1.145058,1.026068,0.042011,3.322059,2.981961,0.452033,3.350000,3.000000,0.476970,1.000000,0.001000,0.001000
98,0.060842,0.019330,1.129969,1.026655,0.040757,1.145615,1.032867,0.044134,3.269818,2.973785,0.424828,3.310000,3.000000,0.462493,0.010000,0.100000,0.001000
90,1.654528,0.039153,1.169885,1.025932,0.040403,1.142148,0.997184,0.042961,3.359991,3.017777,0.313750,3.350000,3.000000,0.476970,100.000000,10.000000,0.100000
34,0.001278,0.000079,1.143348,1.048548,0.039258,1.143314,1.048467,0.039269,3.250059,3.000000,0.432628,3.250000,3.000000,0.433013,100.000000,0.001000,0.000100
155,2.197700,0.336089,0.639397,0.621107,0.008463,1.147156,1.006358,0.045510,2.138557,1.925760,0.144401,3.340000,3.000000,0.473709,10.000000,0.100000,0.100000
211,1.173724,0.279215,0.980998,0.927671,0.018765,1.146844,1.020309,0.045952,2.877533,2.614964,0.180479,3.310000,3.000000,0.462493,0.001000,0.100000,0.010000
49,0.124063,0.019113,1.144605,1.025619,0.039857,1.138341,1.006358,0.043280,3.278519,2.989836,0.417792,3.290000,3.000000,0.453762,1.000000,10.000000,0.010000
46,0.134272,0.018328,1.148266,1.022482,0.045896,1.144285,1.006358,0.049748,3.331101,2.988803,0.438160,3.350000,3.000000,0.476970,1.000000,10.000000,0.010000
116,0.070477,0.023017,1.122715,0.995314,0.044114,1.142689,0.997184,0.048553,3.274382,2.968901,0.422794,3.330000,3.000000,0.470213,0.010000,0.001000,0.001000
500,0.331239,0.138602,1.048724,0.986851,0.024997,1.137707,0.997184,0.045561,3.089214,2.828500,0.322518,3.380000,3.000000,0.485386,1.000000,0.100000,0.001000
386,1.391626,0.289064,0.958427,0.927705,0.014472,1.147628,0.997184,0.047710,2.858862,2.623212,0.189688,3.320000,3.000000,0.466476,0.010000,0.100000,0.010000
31,0.203245,0.030483,1.163394,1.045217,0.034559,1.149101,1.012489,0.037598,3.303387,2.989163,0.403862,3.300000,3.000000,0.458258,0.100000,10.000000,0.100000
126,1.508211,0.312259,1.087362,1.044371,0.017191,1.144677,1.006358,0.042998,3.068049,2.782673,0.190652,3.340000,3.000000,0.473709,0.010000,0.100000,0.100000
115,0.007872,0.002589,1.141884,1.030562,0.042558,1.143066,1.030561,0.042964,3.256090,2.998512,0.433067,3.260000,3.000000,0.438634,1.000000,10.000000,0.000100
88,2.759529,0.356902,0.633866,0.614892,0.008572,1.143821,0.997184,0.045762,2.539247,2.312287,0.159637,3.370000,3.000000,0.482804,0.001000,0.001000,0.100000
31,0.709983,0.120604,1.175658,1.077360,0.032834,1.144011,1.019681,0.044625,3.416029,3.014542,0.301989,3.340000,3.000000,0.473709,1.000000,10.000000,1.000000
389,1.825246,0.311366,0.534772,0.503554,0.011689,1.136440,0.997184,0.048741,2.280645,2.158976,0.159566,3.260000,3.000000,0.438634,0.010000,0.001000,0.010000
486,1.351059,0.287984,0.980569,0.935624,0.019967,1.143285,1.044218,0.040081,2.844016,2.634908,0.177791,3.310000,3.000000,0.462493,0.010000,0.100000,0.010000
31,0.227886,0.039182,1.159846,1.047234,0.033628,1.142950,1.020309,0.038818,3.279684,2.988974,0.389894,3.280000,3.000000,0.448999,0.001000,10.000000,0.100000
324,1.292015,0.286256,0.969837,0.924810,0.018401,1.148165,1.006358,0.039373,2.833899,2.587424,0.168905,3.280000,3.000000,0.448999,0.010000,0.100000,0.010000
31,0.232821,0.035100,1.162800,1.064020,0.038626,1.149559,1.044218,0.043577,3.359891,2.974270,0.413119,3.370000,3.000000,0.482804,1.000000,10.000000,0.100000
105,2.826704,0.377738,0.777925,0.740350,0.013752,1.145662,1.032867,0.039954,3.146162,2.701428,0.194530,3.320000,3.000000,0.466476,0.010000,0.000100,0.100000
