n_epochs,intermediate_distortion,intermediate_l1,mean_optim_l1,min_optim_l1,std_optim_l1,mean_no_optim_l1,min_no_optim_l1,std_no_optim_l1,mean_optim_distortion,min_optim_distortion,std_optim_distortion,mean_no_optim_distortion,min_no_optim_distortion,std_no_optim_distortion,scale_delta,distance_reg,learning_rate
63,0.004710,0.001974,1.150467,1.019689,0.042395,1.151512,1.019681,0.042679,3.345947,2.997822,0.472959,3.350000,3.000000,0.476970,1.000000,10.000000,0.000100
152,2.642531,0.358362,0.729732,0.712090,0.006889,1.146512,0.997184,0.037574,2.929907,2.636501,0.152589,3.340000,3.000000,0.473709,0.100000,0.010000,0.100000
31,0.822186,0.151791,1.201173,1.138719,0.024080,1.143899,1.020309,0.047312,3.250877,2.909915,0.269971,3.310000,3.000000,0.462493,0.100000,1.000000,0.100000
284,1.255980,0.290077,0.913384,0.858423,0.016193,1.147949,1.012489,0.041705,2.714176,2.561827,0.173333,3.330000,3.000000,0.470213,1.000000,0.100000,0.010000
493,2.132868,0.323239,0.337416,0.333303,0.003481,1.140150,1.006358,0.041547,1.926783,1.885398,0.074430,3.340000,3.000000,0.473709,1.000000,0.000100,0.010000
45,0.003520,0.001197,1.143287,1.025775,0.042317,1.144140,1.026068,0.042519,3.247688,2.998585,0.430158,3.250000,3.000000,0.433013,0.100000,10.000000,0.000100
360,1.357781,0.284138,0.983330,0.937204,0.019366,1.143413,1.045141,0.037436,2.904717,2.604869,0.192746,3.330000,3.000000,0.470213,0.010000,0.100000,0.010000
133,2.795813,0.368581,0.684280,0.669220,0.007585,1.146710,0.997184,0.046895,3.087403,2.837974,0.149494,3.370000,3.000000,0.482804,0.010000,0.000100,0.100000
170,0.517746,0.031994,1.136694,1.027347,0.036608,1.139346,0.997184,0.041874,3.292699,2.997890,0.343756,3.340000,3.000000,0.473709,100.000000,0.100000,0.010000
138,1.634003,0.314641,1.079561,1.041784,0.014686,1.143679,1.030561,0.045668,2.958061,2.648267,0.170397,3.310000,3.000000,0.462493,0.100000,0.100000,0.100000
55,0.087246,0.014550,1.144808,1.043532,0.039888,1.138874,1.032867,0.041819,3.321445,2.989816,0.446772,3.330000,3.000000,0.470213,0.010000,10.000000,0.010000
500,0.374562,0.150351,1.040524,0.968934,0.025981,1.143823,1.030561,0.041190,3.032165,2.722816,0.266482,3.360000,3.000000,0.480000,10.000000,0.100000,0.001000
31,0.802896,0.140658,1.173627,1.081189,0.030277,1.146459,1.006358,0.044718,3.421221,3.105940,0.214825,3.370000,3.000000,0.482804,0.010000,10.000000,1.000000
355,0.256439,0.093289,1.058343,0.981923,0.033405,1.141775,1.012489,0.049537,3.062658,2.852072,0.275012,3.340000,3.000000,0.473709,0.100000,0.000100,0.001000
115,2.802497,0.363911,0.649863,0.635019,0.006725,1.146191,1.006358,0.039647,2.748967,2.381823,0.192670,3.330000,3.000000,0.470213,1.000000,0.000100,0.100000
128,0.007851,0.002604,1.141510,0.997135,0.046214,1.143684,0.997184,0.046701,3.343340,2.996177,0.470407,3.350000,3.000000,0.476970,0.100000,0.100000,0.000100
470,1.776932,0.346540,0.436294,0.424722,0.007029,1.139720,1.030561,0.038853,2.021284,1.933630,0.116016,3.310000,3.000000,0.462493,10.000000,0.001000,0.010000
102,2.454090,0.366822,0.764083,0.730905,0.014545,1.144083,1.006358,0.040658,2.849764,2.463539,0.206896,3.320000,3.000000,0.466476,1.000000,0.010000,0.100000
